Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Trastuzumab,-,Chemotherapy,Adjuvant or neo-adjuvant HER2 positive tumours,Breast Cancer,Breast Cancer,HER2+,Early,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa052306?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Chemotherapy,2 years DFS 77.4%,"8,40 %",0.54 (0.43-0.67),A,Form 1,DFS,Adjuvant or neo-adjuvant HER2 positive tumours,HERA,            Early    ,HER2+,Breast Cancer,Breast Cancer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pertuzumab,Trastuzumab + docetaxel,Trastuzumab + docetaxel                                             (Randomised phase II study),Neo-adjuvant HER2 overexpressed invasive ductal breast,Breast Cancer,Breast Cancer,HER2+,Early,C,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(11)70336-9/fulltext,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(16)00163-7/fulltext,NA,Trastuzumab + docetaxel                                             (Randomised phase II study),NA,NA,NA,C,Form 1,pCR ,Neo-adjuvant HER2 overexpressed invasive ductal breast,Neo Sphere,            Early    ,HER2+,Breast Cancer,Breast Cancer,Trastuzumab + docetaxel,46% vs 29%,NS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T-DM1,-,Lapatinib + capecitabine,2nd line metastatic after trastuzumab failure (extensive crossover),Breast Cancer,Breast Cancer,HER2+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1209124?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://onlinelibrary.wiley.com/doi/abs/10.1002/cncr.28465,NA,Lapatinib + capecitabine,NA,NA,NA,NA,Form 2a,PFS and OS,2nd line metastatic after trastuzumab failure (extensive crossover),EMILIA,            Metastatic    ,HER2+,Breast Cancer,Breast Cancer,NA,NA,0.65 (0.55-0.77),4,25.1 months,5.8 months,0.68 (0.55-0.85),6.4 months,3.2 months,3,1+,Delayed deterioration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pertuzumab,Trastuzumab + docetaxel,Trastuzumab + docetaxel + placebo,1st line metastatic,Breast Cancer,Breast Cancer,HER2+,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1413513?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.nejm.org/doi/10.1056/NEJMoa1113216?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://academic.oup.com/annonc/article/24/10/2630/176992,Trastuzumab + docetaxel + placebo ,NA,NA,NA,NA,Form 2a,PFS,1st line metastatic,CLEOPATRA,            Metastatic    ,HER2+,Breast Cancer,Breast Cancer,Trastuzumab + docetaxel,NA,0.62 (0.52-0.75),4,40.8 months,15.7 months,0.68 (0.56-0.84),12.4 months,6.3 months,4,NA,No improvement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trastuzumab,Lapatinib,Lapatinib,3rd line metastatic,Breast Cancer,Breast Cancer,HER2+,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2011.35.6725?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Lapatinib ,NA,NA,NA,NA,Form 2a,PFS,3rd line metastatic,EGF104900,            Metastatic    ,HER2+,Breast Cancer,Breast Cancer,Lapatinib,NA,0.73 (0.57-0.93),4,9.5 months,4.5 months,0.74 (0.57-0.97),2 months,1 month,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palbociclib,Fulvestrant,Fulvestrant + placebo,2nd line metastatic HR+ HER2-,Breast Cancer,Breast Cancer,HR+ HER2-,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00613-0/fulltext,https://www.nejm.org/doi/full/10.1056/NEJMoa1810527?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://www.annalsofoncology.org/article/S0923-7534(19)35655-8/fulltext,Fulvestrant + placebo,NA,NA,NA,NA,Form 2b,PFS,2nd line metastatic HR+ HER2- ,PALOMA-3,            Metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Fulvestrant,NA,0.46 (0.36-0.59),4,28.0 months,6.9 months,Not significant,4.6 months,4.9 months,3,1+,Delayed deterioration,11.05.2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palbociclib,Letrozole,Letrozole + placebo,1st line metastatic HR+ HER2-,Breast Cancer,Breast Cancer,HR+ HER2-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1607303?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Letrozole + placebo,NA,NA,NA,NA,Form 2b,PFS,1st line metastatic HR+ HER2- ,PALOMA-2,            Metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Letrozole,NA,0.58 (0.46-0.72),3,NA,NA,NA,14.5 months,10.3 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palbociclib,Letrozole,Letrozole (Randomised phase II study),1st line metastatic HR+ HER2-,Breast Cancer,Breast Cancer,HR+ HER2-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)71159-3/fulltext,NA,NA,Letrozole (Randomised phase II study)  ,NA,NA,NA,NA,Form 2b,PFS,1st line metastatic HR+ HER2- ,PALOMA-1/TRIO-18,            Metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Letrozole,NA,0.49 (0.32-0.75),3,33.3 months,4.2 months,NS,10.2 months,10 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ribociclib,Letrozole,Letrozole + placebo,1st line metastatic post-menopause HR+ HER2-,Breast Cancer,Breast Cancer,HR+ HER2-,Metastatic,3,NA,NA,https://academic.oup.com/annonc/article/29/7/1541/4989216,NA,NA,Letrozole + placebo,NA,NA,NA,NA,Form 2b,PFS,1st line metastatic post-menopause HR+ HER2-,MONALEESA-2,            Metastatic    ,HR+ HER2-,Breast Cancer,Breast Cancer,Letrozole,NA,0.57 (0.46-0.70),3,NA,NA,Not mature data,16 months,9.3 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lapatinib,Capecitabine,Capecitabine,2nd line metastatic after trastuzumab failure,Breast Cancer,Breast Cancer,HER2+,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa064320?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Capecitabine,NA,NA,NA,NA,Form 2b,TTP,2nd line metastatic after trastuzumab failure,NA,            Metastatic    ,HER2+,Breast Cancer,Breast Cancer,Capecitabine,NA,0.49 (0.34-0.71),3,NA,NA,NS,4.4 months,4 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
